location,year,age,sex,mx,cause,prev
Kenya,1990,73,Male,0.06664621,Seborrhoeic dermatitis,0.0011452801657657482
Kenya,1990,73,Male,0.06664621,Stomach cancer,1.5725956549173e-4
Kenya,1990,73,Female,0.05673583,Seborrhoeic dermatitis,0.001158288051402338
Kenya,1990,73,Female,0.05673583,Stomach cancer,1.0509847060366802e-4
Kenya,1990,74,Male,0.07204365,Seborrhoeic dermatitis,0.0011452801657657482
Kenya,1990,74,Male,0.07204365,Stomach cancer,1.23298084221866e-4
Kenya,1990,74,Female,0.06157507,Seborrhoeic dermatitis,0.001158288051402338
Kenya,1990,74,Female,0.06157507,Stomach cancer,7.632086106087199e-5
Kenya,1990,75,Male,0.07793556,Seborrhoeic dermatitis,0.0014117031038800459
Kenya,1990,75,Male,0.07793556,Stomach cancer,1.23298084221866e-4
Kenya,1990,75,Female,0.06692294,Seborrhoeic dermatitis,0.001416464612029296
Kenya,1990,75,Female,0.06692294,Stomach cancer,7.632086106087199e-5
Kenya,1990,76,Male,0.08389085,Seborrhoeic dermatitis,0.0014117031038800459
Kenya,1990,76,Male,0.08389085,Stomach cancer,1.23298084221866e-4
Kenya,1990,76,Female,0.07189769,Seborrhoeic dermatitis,0.001416464612029296
Kenya,1990,76,Female,0.07189769,Stomach cancer,7.632086106087199e-5
Kenya,1990,77,Male,0.09020803,Seborrhoeic dermatitis,0.0014117031038800459
Kenya,1990,77,Male,0.09020803,Stomach cancer,1.23298084221866e-4
Kenya,1990,77,Female,0.07720479,Seborrhoeic dermatitis,0.001416464612029296
Kenya,1990,77,Female,0.07720479,Stomach cancer,7.632086106087199e-5
Kenya,1990,78,Male,0.09819115,Seborrhoeic dermatitis,0.0014117031038800459
Kenya,1990,78,Male,0.09819115,Stomach cancer,1.23298084221866e-4
Kenya,1990,78,Female,0.08427373,Seborrhoeic dermatitis,0.001416464612029296
Kenya,1990,78,Female,0.08427373,Stomach cancer,7.632086106087199e-5
Kenya,1990,79,Male,0.10543237,Seborrhoeic dermatitis,0.0014117031038800459
Kenya,1990,79,Male,0.10543237,Stomach cancer,0
Kenya,1990,79,Female,0.09007856,Seborrhoeic dermatitis,0.001416464612029296
Kenya,1990,79,Female,0.09007856,Stomach cancer,0
Kenya,1990,80,Male,0.11479431,Seborrhoeic dermatitis,0.001572786759071704
Kenya,1990,80,Male,0.11479431,Stomach cancer,1.30060940223638e-4
Kenya,1990,80,Female,0.09845008,Seborrhoeic dermatitis,0.0015800569797781519
Kenya,1990,80,Female,0.09845008,Stomach cancer,8.5983227526826e-5
Kenya,1990,81,Male,0.12292199,Seborrhoeic dermatitis,0.001572786759071704
Kenya,1990,81,Male,0.12292199,Stomach cancer,1.30060940223638e-4
Kenya,1990,81,Female,0.10454804,Seborrhoeic dermatitis,0.0015800569797781519
Kenya,1990,81,Female,0.10454804,Stomach cancer,8.5983227526826e-5
Kenya,1990,82,Male,0.13636352,Seborrhoeic dermatitis,0.001572786759071704
Kenya,1990,82,Male,0.13636352,Stomach cancer,1.30060940223638e-4
Kenya,1990,82,Female,0.11704252,Seborrhoeic dermatitis,0.0015800569797781519
Kenya,1990,82,Female,0.11704252,Stomach cancer,8.5983227526826e-5
Kenya,1990,83,Male,0.14851708,Seborrhoeic dermatitis,0.001572786759071704
Kenya,1990,83,Male,0.14851708,Stomach cancer,1.30060940223638e-4
Kenya,1990,83,Female,0.12782395,Seborrhoeic dermatitis,0.0015800569797781519
Kenya,1990,83,Female,0.12782395,Stomach cancer,8.5983227526826e-5
Kenya,1990,84,Male,0.16294759,Seborrhoeic dermatitis,0.001572786759071704
Kenya,1990,84,Male,0.16294759,Stomach cancer,1.30060940223638e-4
Kenya,1990,84,Female,0.14072286,Seborrhoeic dermatitis,0.0015800569797781519
Kenya,1990,84,Female,0.14072286,Stomach cancer,8.5983227526826e-5
Kenya,1990,85,Male,0.17564414,Seborrhoeic dermatitis,0.001619547158906646
Kenya,1990,85,Male,0.17564414,Stomach cancer,1.50173586897314e-4
Kenya,1990,85,Female,0.1527507,Seborrhoeic dermatitis,0.001625807937990086
Kenya,1990,85,Female,0.1527507,Stomach cancer,9.5993175519274e-5
Kenya,1990,86,Male,0.19056887,Seborrhoeic dermatitis,0.001619547158906646
Kenya,1990,86,Male,0.19056887,Stomach cancer,1.50173586897314e-4
