year,age,expos,sex
1961,55,77.2625,f
1961,56,71.9425,f
1961,57,66.153,f
1961,58,62.3395,f
1961,59,61.567,f
1961,60,62.007,f
1961,61,61.373,f
1961,62,60.6365,f
1961,63,59.9085,f
1961,64,57.82,f
1961,65,54.2595,f
1961,66,51.36,f
1961,67,48.5525,f
1961,68,45.7915,f
1961,69,43.623,f
1961,70,41.5615,f
1961,71,38.9285,f
1961,72,36.241,f
1961,73,33.367,f
1961,74,29.0105,f
1961,75,24.413,f
1961,76,20.0905,f
1961,77,16.0585,f
1961,78,12.677,f
1961,79,10.3135,f
1961,80,8.464,f
1961,81,6.7685,f
1961,82,5.333,f
1961,83,4.0615,f
1961,84,2.857,f
1961,85,1.856,f
1961,86,1.1555,f
1961,87,0.681,f
1961,88,0.404,f
1961,89,0.2815,f
1961,90,0.2215,f
1961,91,0.1725,f
1961,92,0.1315,f
1961,93,0.0925,f
1961,94,0.0565,f
1961,95,0.0315,f
1961,96,0.019,f
1961,97,0.0125,f
1961,98,0.0085,f
